method,source_dir,overall_mse,overall_mae,corrupted_region_mse,corrupted_region_mae,clean_region_mse,clean_region_mae,baseline_mae,stv_mae,ltv_mae
Direct denoising,/home/yt/CTG_test/artifacts/results/denoising/denoising_baseline_clinical,0.19661445461029856,0.2059388181973365,10.23441983268434,2.1309132657074628,0.12092934310577584,0.19142449955738744,0.09769088669950739,0.13338863863131437,0.6881426115550707
Pred-mask guided,/home/yt/CTG_test/artifacts/results/denoising/multilabel_guided_denoising_clinical_pred,0.18220245376926827,0.18561035255493202,9.550267113283345,2.0770601690044392,0.11156719121619604,0.17134880983007625,0.0895935960591133,0.09609065862726839,0.49212331631642126
GT-mask oracle,/home/yt/CTG_test/artifacts/results/denoising/multilabel_guided_denoising_clinical_gt,0.12807508354438468,0.21657066589310056,8.914215335941181,1.9886221527333974,0.06182753443872388,0.2032093872747462,0.06323891625615763,0.14365389933265896,0.6943233885071168
