method,source_dir,overall_mse,corrupted_region_mse,clean_region_mse,overall_mae,corrupted_region_mae,clean_region_mae,baseline_mae,stv_mae,ltv_mae,baseline_bias_mean,baseline_bias_median,stv_bias_mean,stv_bias_median,ltv_bias_mean,ltv_bias_median
Direct denoising baseline,/home/yt/CTG_test/artifacts/results/denoising/denoising_baseline_clinical,0.19661445461029856,10.23441983268434,0.12092934310577584,0.2059388181973365,2.1309132657074628,0.19142449955738744,0.09769088669950739,0.13338863863131437,0.6881426115550707,0.0064347290640394085,0.0,-0.09627459000431113,-0.04651011383070336,-0.5256192192097582,-0.40734801019726774
Multilabel pred-mask guided,/home/yt/CTG_test/artifacts/results/denoising/multilabel_guided_denoising_clinical_pred,0.18220245376926827,9.550267113283345,0.11156719121619604,0.18561035255493202,2.0770601690044392,0.17134880983007625,0.0895935960591133,0.09609065862726839,0.49212331631642126,-0.017549261083743842,0.0,0.0033964692574442877,0.00912519894704733,-0.02960599616082683,0.03831909820254964
Multilabel GT-mask oracle,/home/yt/CTG_test/artifacts/results/denoising/multilabel_guided_denoising_clinical_gt,0.12807508354438468,8.914215335941181,0.06182753443872388,0.21657066589310056,1.9886221527333974,0.2032093872747462,0.06323891625615763,0.14365389933265896,0.6943233885071168,0.009544334975369459,0.0,0.08707018208663586,0.08469425563825084,0.48145077043575485,0.4777272632423717
