candidate_id,file_id,region_type,duration_sec,mean_ratio,confidence,plot_path,human_label
185_1_250812135021__seg0006__half__01,185_1_250812135021,half,3.5,0.4776,0.944,plots/185_1_250812135021/185_1_250812135021__seg0006__half2_double0.png,
119_1_241111090102__seg0001__half__02,119_1_241111090102,half,5.25,0.5021,0.964,plots/119_1_241111090102/119_1_241111090102__seg0001__half2_double0.png,
128_1_240910084804__seg0001__half__02,128_1_240910084804,half,3.25,0.5047,0.956,plots/128_1_240910084804/128_1_240910084804__seg0001__half3_double0.png,
130_1_250511192334__seg0004__half__04,130_1_250511192334,half,7.25,0.5181,0.878,plots/130_1_250511192334/130_1_250511192334__seg0004__half4_double0.png,
116_1_250710080027__seg0001__half__02,116_1_250710080027,half,14.25,0.5025,0.929,plots/116_1_250710080027/116_1_250710080027__seg0001__half1_double1.png,
122_1_241020121417__seg0001__half__01,122_1_241020121417,half,3.5,0.4697,0.866,plots/122_1_241020121417/122_1_241020121417__seg0001__half1_double0.png,
129_1_250615090555__seg0002__half__01,129_1_250615090555,half,3.25,0.4815,0.954,plots/129_1_250615090555/129_1_250615090555__seg0002__half1_double0.png,
103_1_250118150312__seg0002__half__03,103_1_250118150312,half,3.0,0.5475,0.854,plots/103_1_250118150312/103_1_250118150312__seg0002__half3_double0.png,
102_1_250321090907__seg0001__half__03,102_1_250321090907,half,9.5,0.5018,0.915,plots/102_1_250321090907/102_1_250321090907__seg0001__half3_double0.png,
112_1_250531085256__seg0002__half__01,112_1_250531085256,half,7.5,0.4989,0.967,plots/112_1_250531085256/112_1_250531085256__seg0002__half1_double0.png,
128_1_250606115816__seg0003__half__01,128_1_250606115816,half,7.0,0.479,0.915,plots/128_1_250606115816/128_1_250606115816__seg0003__half1_double0.png,
131_1_241017094135__seg0001__half__01,131_1_241017094135,half,5.25,0.4947,0.937,plots/131_1_241017094135/131_1_241017094135__seg0001__half1_double0.png,
156_1_250209125918__seg0005__half__04,156_1_250209125918,half,3.0,0.5305,0.899,plots/156_1_250209125918/156_1_250209125918__seg0005__half6_double0.png,
111_1_241119101529__seg0001__half__03,111_1_241119101529,half,3.0,0.4984,0.969,plots/111_1_241119101529/111_1_241119101529__seg0001__half3_double0.png,
103_1_250311213042__seg0002__half__01,103_1_250311213042,half,6.75,0.5243,0.882,plots/103_1_250311213042/103_1_250311213042__seg0002__half1_double0.png,
109_1_250220104813__seg0001__half__02,109_1_250220104813,half,6.5,0.5007,0.917,plots/109_1_250220104813/109_1_250220104813__seg0001__half2_double0.png,
102_1_241121090234__seg0001__half__01,102_1_241121090234,half,5.75,0.5059,0.955,plots/102_1_241121090234/102_1_241121090234__seg0001__half1_double0.png,
